System                     0    1    2    3    4    5    6    7
Beanstalkd              1.10 1.52 1.57 1.64 1.74 1.73 1.77 1.82
"lighttpd (wrk)"        1.00 1.12 1.14 1.14 1.14 1.15 1.15 1.49
Nginx                   1.04 1.28 1.37 1.41 1.55 1.58 1.64 1.67
Redis                   1.00 1.06 1.11 1.14 1.24 1.23 1.25 1.27
