# Versions Traces Sources
"7.1.001" 0 0
"7.1.002" 0 0.000548345823432645
"7.1.003" 0 0.000913909705721075
"7.1.004" 0 0.00164503747029793
"7.1.005" 0 0.00466093949917748
"7.1.006" 0 0.00594041308718699
"7.1.007" 0 0.0122463900566624
"7.1.008" 0 0.0130689087918114
"7.1.009" 0 0.0139828184975324
"7.1.010" 0 0.0146225552915372
"7.1.011" 0 0.0150795101443977
"7.1.012" 0 0.0168159385852678
"7.1.013" 0 0.0173642844087004
"7.1.014" 0 0.0177298482909889
"7.1.015" 0 0.0189179309084262
"7.1.016" 0 0.0194662767318589
"7.1.017" 0.0483656656922668 0.0253152988484738
"7.1.018" 0.0483656656922668 0.0258636446719064
"7.1.019" 0.0483656656922668 0.026320599524767
"7.1.020" 0.0483656656922668 0.0276914640833486
"7.1.021" 0.0483656656922668 0.0293365015536465
"7.1.022" 0.0483656656922668 0.0299762383476513
"7.1.023" 0.0483656656922668 0.0303418022299397
"7.1.024" 0.0483656656922668 0.0307073661122281
"7.1.025" 0.04889715652405 0.0316212758179492
"7.1.026" 0.04889715652405 0.0319868397002376
"7.1.027" 0.04889715652405 0.0354596965819777
"7.1.028" 0.04889715652405 0.0364649972582709
"7.1.029" 0.04889715652405 0.0374702979345641
"7.1.030" 0.04889715652405 0.0397550721988668
"7.1.031" 0.04889715652405 0.0427709742277463
"7.1.032" 0.04889715652405 0.0441418387863279
"7.1.033" 0.04889715652405 0.0445987936391884
"7.1.034" 0.04889715652405 0.0462438311094864
"7.1.035" 0.04889715652405 0.0465180040212027
"7.1.036" 0.04889715652405 0.0568451836958508
"7.1.037" 0.04889715652405 0.0572107475781393
"7.1.038" 0.04889715652405 0.0626942058124657
"7.1.039" 0.04889715652405 0.0632425516358984
"7.1.040" 0.04889715652405 0.148053372326814
"7.1.041" 0.04889715652405 0.149241454944252
"7.1.042" 0.04889715652405 0.150155364649973
"7.1.043" 0.04889715652405 0.151069274355694
"7.1.044" 0.04889715652405 0.151526229208554
"7.1.045" 0.0531490831783152 0.153719612502285
"7.1.046" 0.0531490831783152 0.154633522208006
"7.1.047" 0.0531490831783152 0.154999086090294
"7.1.048" 0.0531490831783152 0.157375251325169
"7.1.049" 0.0531490831783152 0.157740815207458
"7.1.050" 0.0531490831783152 0.159842807530616
"7.1.051" 0.0531490831783152 0.16130506305977
"7.1.052" 0.0531490831783152 0.162218972765491
"7.1.053" 0.0531490831783152 0.162584536647779
"7.1.054" 0.0531490831783152 0.164960701882654
"7.1.055" 0.0531490831783152 0.167245476146957
"7.1.056" 0.0531490831783152 0.16825077682325
"7.1.057" 0.0531490831783152 0.16998720526412
"7.1.058" 0.0531490831783152 0.18387863279108
"7.1.059" 0.0531490831783152 0.186711752878816
"7.1.060" 0.0531490831783152 0.194479985377445
"7.1.061" 0.0531490831783152 0.198318406141473
"7.1.062" 0.0531490831783152 0.198866751964906
"7.1.063" 0.0531490831783152 0.199232315847194
"7.1.064" 0.0531490831783152 0.199963443611771
"7.1.065" 0.0531490831783152 0.201882653993785
"7.1.066" 0.0531490831783152 0.203893255346372
"7.1.067" 0.0531490831783152 0.21942972034363
"7.1.068" 0.0531490831783152 0.225644306342533
